WASH7P,MIR6859-1,CICP27,AL627309.7,AL627309.8,AL627309.5,FO538757.2,FO538757.1,AP006222.1,AL732372.2,AL669831.3,MTND1P23,MTND2P28,MTCO1P12,MTCO2P12,MTATP8P1,MTATP6P1,MTCO3P12,CICP3,AL669831.1
AL669831.5,AL669831.4,FAM87B,LINC01128,LINC00115,AL645608.7,AL645608.3,AL645608.1,SAMD11,NOC2L,KLHL17,PLEKHN1,PERM1,AL645608.8,HES4,ISG15,AL645608.2,AGRN,AL390719.1,AL645608.9
RNF223,C1orf159,LINC01342,MIR200B,MIR200A,MIR429,AL390719.2,TTLL10-AS1,TTLL10,TNFRSF18,TNFRSF4,SDF4,B3GALT6,C1QTNF12,AL162741.1,UBE2J2,LINC01786,SCNN1D,ACAP3,PUSL1
INTS11,AL139287.1,CPTP,TAS1R3,DVL1,MXRA8,AURKAIP1,NDUFB4P8,CCNL2,AL391244.1,MRPL20,AL391244.3,ANKRD65,AL391244.2,TMEM88B,LINC01770,VWA1,ATAD3C,ATAD3B,AL645728.2
ATAD3A,TMEM240,SSU72,AL645728.1,FNDC10,AL691432.2,MIB2,MMP23B,CDK11B,FO704657.1,SLC35E2B,AL691432.1,MMP23A,CDK11A,AL031282.2,AL031282.1,SLC35E2,NADK,GNB1,AL109917.1
CALML6,TMEM52,CFAP74,AL391845.2,GABRD,AL391845.1,PRKCZ,AL590822.2,PRKCZ-AS1,FAAP20,AL590822.1,SKI,MORN1,AL589739.1,AL513477.1,AL513477.2,RER1,PEX10,PLCH2,AL139246.1
AL139246.4,PANK4,HES5,AL139246.5,TNFRSF14-AS1,TNFRSF14,AL139246.2,AL139246.3,FAM213B,MMEL1,TTC34,LINC00982,PRDM16,AL590438.1,ARHGEF16,AL512413.1,MEGF6,AL513320.1,TPRG1L,WRAP73
TP73,AL136528.1,TP73-AS1,CCDC27,SMIM1,LRRC47,RN7SL574P,AL365330.1,CEP104,DFFB,C1orf174,LINC01134,AJAP1,NPHP4,KCNAB2,CHD5,RPL22,AL031847.1,RNF207,ICMT
LINC00337,GPR153,ACOT7,AL031848.2,HES2,ESPN,AL031848.1,TNFRSF25,PLEKHG5,NOL9,AL591866.1,TAS1R1,ZBTB48,KLHL21,PHF13,THAP3,DNAJC11,AL590128.2,CAMTA1,AL359881.3
AL359881.2,AL359881.1,VAMP3,Z98884.2,PER3,Z98884.1,UTS2,TNFRSF9,PARK7,Y_RNA,AL034417.4,AL034417.3,ERRFI1,AL034417.2,AL034417.1,LINC01714,SLC45A1,RERE,AL096855.1,SNORA77
AL096855.2,RPL7P11,RPL7P7,ENO1,ENO1-AS1,HMGN2P17,CA6,SLC2A7,SLC2A5,GPR157,MIR34AHG,LINC01759,H6PD,SPSB1,BX323043.1,AL928921.2,SLC25A33,AL954705.1,TMEM201,PIK3CD
PIK3CD-AS1,PIK3CD-AS2,CLSTN1,AL357140.3,CTNNBIP1,LZIC,AL357140.2,NMNAT1,RN7SKP269,AL357140.4,RBP7,UBE4B,PGAM1P11,KIF1B,RNU6-37P,AL139424.3,AL139424.2,PGD,CENPS-CORT,CENPS
CORT,DFFA,PEX14,RN7SL614P,CASZ1,AL139423.1,C1orf127,CFL1P6,TARDBP,MASP2,AL109811.3,SRM,EXOSC10,AL109811.1,AL109811.2,MTOR,ANGPTL7,UBIAD1,UBE2V2P3,DISP3
